,排名,电影中文名,电影外文名,电影别名,导演,演员,年份,地区,类别,评分,评分人数,电影概况
224,225,爱在午夜降临前,Before Midnight,爱在午夜希腊时(台)  /  情约半生(港), 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,2013,美国,剧情 爱情,8.8,120318人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
225,226,无人知晓,誰も知らない,谁知赤子心  /  无人知晓的夏日清晨, 是枝裕和 Hirokazu Koreeda, 柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情,9.0,58582人评价,我的平常生活就是他人的幸福。
226,227,非常嫌疑犯,The Usual Suspects,刺激惊爆点(台)  /  普通嫌疑犯, 布莱恩·辛格 Bryan Singer, 史蒂芬·鲍德温 Stephen Baldwin /...,1995,德国 美国,剧情 犯罪 悬疑 惊悚,8.6,119696人评价,我不信仰上帝，但我敬畏上帝。
227,228,叫我第一名,Front of the Class,开放有爱  /  站在教室前, 彼得·维纳 Peter Werner, 詹姆斯·沃克 James Wolk / 特里特·...,2008,美国,剧情 传记,8.6,111562人评价,乐观比一切都有力量。
228,229,穆赫兰道,Mulholland Dr.,穆荷兰大道(台)  /  失忆大道(港), 大卫·林奇 David Lynch, 娜奥米·沃茨 Naomi Watts / 劳拉·哈...,2001,法国 美国,剧情 悬疑 惊悚,8.3,241240人评价,大卫·林奇的梦境迷宫。
229,230,勇士,Warrior,勇者无敌(台)  /  钢铁斗士(港), 加文·欧康诺 Gavin O'Connor, 汤姆·哈迪 Tom Hardy / 乔尔·...,2011,美国,剧情 运动 家庭,8.9,89658人评价,热血沸腾，相当完美的娱乐拳击大餐。
230,231,小萝莉的猴神大叔,Bajrangi Bhaijaan,娃娃返乡任务(台)  /  宝莱坞之钢铁奶爸(台), 卡比尔·汗 Kabir Khan, 萨尔曼·汗 Salman Khan / 哈莎莉·马...,2015,印度,剧情 喜剧 动作,8.6,135062人评价,
231,232,疯狂的石头,Crazy Stone,, 宁浩 Hao Ning, 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 香港,喜剧 犯罪,8.3,325077人评价,中国版《两杆大烟枪》。
232,233,无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险,8.6,189442人评价,迪士尼和皮克斯拿错剧本的产物。
233,234,国王的演讲,The King's Speech,皇上无话儿(港)  /  王者之声：宣战时刻(台), 汤姆·霍珀 Tom Hooper, 柯林·菲尔斯 Colin Firth / 杰弗里·...,2010,英国 澳大利亚 美国,剧情 传记 历史,8.3,349698人评价,皇上无话儿。
234,235,上帝也疯狂,The Gods Must Be Crazy,众神也疯狂 (上)  /  上帝一定发疯了 (上), Jamie Uys, Marius Weyers / Sandra Prinsloo / N!xau,1980,博茨瓦纳 南非,喜剧,8.6,98499人评价,纯净原始的笑与感动。
235,236,血钻,Blood Diamond,血腥钻石  /  滴血钻石, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国,剧情 惊悚 冒险,8.5,136463人评价,每个美丽事物背后都是滴血的现实。
236,237,步履不停,歩いても 歩いても,横山家之味(港)  /  步伐不停, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,8.8,75776人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
237,238,彗星来的那一夜,Coherence,相干性  /  相干效应, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚,8.4,184310人评价,小成本大魅力。
238,239,枪火,鎗火,The Mission, 杜琪峰 Johnnie To, 吴镇宇 Francis Ng / 任达华 Simon Yam / ...,1999,香港,剧情 动作 犯罪,8.6,102441人评价,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
239,240,蓝色大门,藍色大門,蓝色夏恋  /  Blue Gate Crossing, 易智言 Chih-yen Yee, 陈柏霖 Bo-lin Chen / 桂纶镁 Lunmei Kwa...,2002,台湾 法国,剧情 爱情 同性,8.3,277432人评价,青春的窃窃私语。
240,241,大卫·戈尔的一生,The Life of David Gale,铁案悬谜  /  命悬一线, Alan Parker, 凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...,2003,美国 德国 英国,剧情 犯罪 悬疑,8.6,95998人评价,捍卫人权只是信仰，一点不妨碍其行为的残忍。
241,242,遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台), 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情,8.5,132626人评价,用剩余不多的时间，去燃烧整个生命。
242,243,我爱你,그대를 사랑합니다,爱你  /  爱，是一生相伴(台), 秋昌民 Chang-min Choo, 宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011,韩国,剧情 爱情,9.0,59215人评价,你要相信，这世上真的有爱存在，不管在什么年纪
243,244,千钧一发,Gattaca,变种异煞  /  自然人, 安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻,8.7,88545人评价,一部能引人思考的科幻励志片。
244,245,爱·回家,집으로...,外婆的家  /  回家路上, 李廷香 Jeong-hyang Lee, 金艺芬 Eul-boon Kim / 俞承豪 Seung-...,2002,韩国,剧情 家庭,9.0,48465人评价,献给所有外婆的电影。
245,246,荒岛余生,Cast Away,浩劫重生(台)  /  劫后重生(港), 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ...,2000,美国,冒险 剧情,8.5,138041人评价,一个人的独角戏。
246,247,黑鹰坠落,Black Hawk Down,黑鹰降落  /  黑鹰计划, 雷德利·斯科特 Ridley Scott, 乔什·哈奈特 Josh Hartnett / ...,2001,美国,动作 历史 战争,8.5,117942人评价,还原真实而残酷的战争。
247,248,麦兜故事,麥兜故事,麦兜的故事  /  My Life as McDull, 袁建滔 Toe Yuen, 李晋纬 / 林海峰 Jan Lamb / 吴君如 Sandra Ng,2001,香港,剧情 喜剧 动画,8.5,130822人评价,麦兜是一只很哲学的猪。
248,249,暖暖内含光,Eternal Sunshine of the Spotless Mind,暧暧内含光  /  美丽心灵的永恒阳光, 米歇尔·冈瑞 Michel Gondry, 金·凯瑞 Jim Carrey / 凯特·温...,2004,美国,剧情 爱情 奇幻,8.4,147796人评价,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
249,250,月球,Moon,月劫余生(港)  /  寂寞月影, 邓肯·琼斯 Duncan Jones, 山姆·洛克威尔 Sam Rockwell / 凯文...,2009,英国,剧情 科幻 悬疑,8.5,147512人评价,2009媲美《第九区》的又一部科幻神作。
